Model,Audio_ID,Ground_Truth,Prediction,WER,Inference_Time_sec,Memory_MB
Faster-Whisper Base,7729-102255-0008,ALL THE TERRITORIAL DIGNITARIES WERE PRESENT GOVERNOR SHANNON PRESIDED JOHN CALHOUN THE SURVEYOR GENERAL MADE THE PRINCIPAL SPEECH A DENUNCIATION OF THE ABOLITIONISTS SUPPORTING THE TOPEKA MOVEMENT CHIEF JUSTICE LECOMPTE DIGNIFIED THE OCCASION WITH APPROVING REMARKS,"All the territorial dignitaries were present. Governor Shannon presided John Calhoun,  the surveyor general, made the principal speech a denunciation of the abolitionist,  supporting the Topeka movement. Chief Justice LaConf dignified the occasion with approving remarks.",0.05555555555555555,1.7311291999940295,27.5
Faster-Whisper Base,1221-135766-0004,THIS OUTWARD MUTABILITY INDICATED AND DID NOT MORE THAN FAIRLY EXPRESS THE VARIOUS PROPERTIES OF HER INNER LIFE,This outward mutability indicated and did not more than fairly express the various properties of her inner life.,0.0,1.3258482000092044,0.0703125
Faster-Whisper Base,4507-16021-0032,HE MUST DESCEND WITH HIS HEART FULL OF CHARITY AND SEVERITY AT THE SAME TIME AS A BROTHER AND AS A JUDGE TO THOSE IMPENETRABLE CASEMATES WHERE CRAWL PELL MELL THOSE WHO BLEED AND THOSE WHO DEAL THE BLOW THOSE WHO WEEP AND THOSE WHO CURSE THOSE WHO FAST AND THOSE WHO DEVOUR THOSE WHO ENDURE EVIL AND THOSE WHO INFLICT IT,"He must descend with his heart full of charity and severity at the same time,  as a brother and as a judge, to those impenetrable casemates,  where crawl, pale now those who bleed and those who deal the blow,  those who weep and those who curse, those who fast and those who devour,  those who endure evil and those who inflict it.",0.03225806451612903,2.0094459999818355,2.75390625
Faster-Whisper Base,5105-28241-0019,NOTHING WAS TO BE DONE BUT TO PUT ABOUT AND RETURN IN DISAPPOINTMENT TOWARDS THE NORTH,Nothing was to be done but to put about and return in disappointment toward the north.,0.0625,1.2541242999723181,0.02734375
Faster-Whisper Base,8463-294825-0001,THIS REALITY BEGINS TO EXPLAIN THE DARK POWER AND OTHERWORLDLY FASCINATION OF TWENTY THOUSAND LEAGUES UNDER THE SEAS,This reality begins to explain the dark power and other worldly fascination of twenty thousand leagues under the seas.,0.1111111111111111,1.3213131000229623,0.02734375
Faster-Whisper Base,4970-29093-0007,IT IS SUCH A NOBLE AMBITION THAT IT IS A PITY IT HAS USUALLY SUCH A SHALLOW FOUNDATION,It is such a noble ambition that it is a pity it has usually such a shallow foundation.,0.0,1.2546150000125635,0.0078125
Faster-Whisper Base,2300-131720-0009,FOR SOME YEARS IT WAS NOT FOUND FEASIBLE TO OPERATE MOTORS ON ALTERNATING CURRENT CIRCUITS AND THAT REASON WAS OFTEN URGED AGAINST IT SERIOUSLY,For some years it was not found feasible to operate motors on alternating current circuits  and that reason was often urged against it seriously.,0.0,1.35506470000837,0.01171875
Faster-Whisper Base,8224-274381-0016,VALOR INDEED WAS VERY GENERALLY DIFFUSED OVER THE ONE PARTY AS WELL AS THE OTHER DURING THIS PERIOD DISCIPLINE ALSO WAS ATTAINED BY THE FORCES OF THE PARLIAMENT BUT THE PERFECTION OF THE MILITARY ART IN CONCERTING THE GENERAL PLANS OF ACTION AND THE OPERATIONS OF THE FIELD SEEMS STILL ON BOTH SIDES TO HAVE BEEN IN A GREAT MEASURE WANTING,"Valor, indeed, was very generally diffused over the one party as well as the other.  During this period, discipline also was attained by the forces of the Parliament, but the  perfection of the military art in conserting the general plans of action and the operations  of the field seems still on both sides to have been in a great measure wanting.",0.01639344262295082,2.7625220000045374,-2.08203125
Faster-Whisper Base,8463-294828-0000,CHAPTER THREE AS MASTER WISHES,Chapter 3 as Master Wishes.,0.2,1.1569373999955133,-0.0234375
Faster-Whisper Base,3729-6852-0044,I WILL MAKE YOU TRANSLATE THEM INTO FRENCH AND YOU NEED NOT BE AFRAID OF MY FINDING YOU INSATIABLE,I will make you translate them into French and you need not be afraid of my finding you insatiable.,0.0,1.321791900001699,0.0078125
Faster-Whisper Base,2830-3980-0010,EITHER HE CALLS MINISTERS THROUGH THE AGENCY OF MEN OR HE CALLS THEM DIRECTLY AS HE CALLED THE PROPHETS AND APOSTLES,"Either he calls ministers to the agency of men, or he calls them directly as he called the prophets and apostles.",0.047619047619047616,1.2492733000253793,0.0
Faster-Whisper Base,7729-102255-0005,THIS WAS A FORMIDABLE ARRAY OF ADVANTAGES SLAVERY WAS PLAYING WITH LOADED DICE,"This was a formidable array of advantages, slavery was playing with loaded dice.",0.0,1.246390899992548,0.1953125
Faster-Whisper Base,1221-135767-0007,BUT IN TRUTH PEARL WAS THE ONE AS WELL AS THE OTHER AND ONLY IN CONSEQUENCE OF THAT IDENTITY HAD HESTER CONTRIVED SO PERFECTLY TO REPRESENT THE SCARLET LETTER IN HER APPEARANCE,"But in truth, Pearl was the one as well as the other,  and only in consequence of that identity had heaster contrived  so perfectly to represent the scarlet letter in her appearance.",0.03125,1.5252383999759331,-0.19140625
Faster-Whisper Base,8455-210777-0068,YOUR POWER IS SUFFICIENT I SAID,"Your power is sufficient, I said.",0.0,1.1262586000084411,0.0
Faster-Whisper Base,4446-2273-0011,THERE IS NOTHING ELSE THAT LOOKS SO JOLLY,There's nothing else that looks so jolly.,0.25,1.1461277999915183,0.0
Faster-Whisper Base,1188-133604-0006,THEN HE COMES TO THE BEAK OF IT,then he comes to the beak of end,0.125,1.1627147999824956,0.0
