audio_id,audio_path,ground_truth
7729-102255-0008,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\7729\102255\7729-102255-0008.flac,ALL THE TERRITORIAL DIGNITARIES WERE PRESENT GOVERNOR SHANNON PRESIDED JOHN CALHOUN THE SURVEYOR GENERAL MADE THE PRINCIPAL SPEECH A DENUNCIATION OF THE ABOLITIONISTS SUPPORTING THE TOPEKA MOVEMENT CHIEF JUSTICE LECOMPTE DIGNIFIED THE OCCASION WITH APPROVING REMARKS
1221-135766-0004,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\1221\135766\1221-135766-0004.flac,THIS OUTWARD MUTABILITY INDICATED AND DID NOT MORE THAN FAIRLY EXPRESS THE VARIOUS PROPERTIES OF HER INNER LIFE
4507-16021-0032,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\4507\16021\4507-16021-0032.flac,HE MUST DESCEND WITH HIS HEART FULL OF CHARITY AND SEVERITY AT THE SAME TIME AS A BROTHER AND AS A JUDGE TO THOSE IMPENETRABLE CASEMATES WHERE CRAWL PELL MELL THOSE WHO BLEED AND THOSE WHO DEAL THE BLOW THOSE WHO WEEP AND THOSE WHO CURSE THOSE WHO FAST AND THOSE WHO DEVOUR THOSE WHO ENDURE EVIL AND THOSE WHO INFLICT IT
5105-28241-0019,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\5105\28241\5105-28241-0019.flac,NOTHING WAS TO BE DONE BUT TO PUT ABOUT AND RETURN IN DISAPPOINTMENT TOWARDS THE NORTH
8463-294825-0001,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\8463\294825\8463-294825-0001.flac,THIS REALITY BEGINS TO EXPLAIN THE DARK POWER AND OTHERWORLDLY FASCINATION OF TWENTY THOUSAND LEAGUES UNDER THE SEAS
4970-29093-0007,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\4970\29093\4970-29093-0007.flac,IT IS SUCH A NOBLE AMBITION THAT IT IS A PITY IT HAS USUALLY SUCH A SHALLOW FOUNDATION
2300-131720-0009,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\2300\131720\2300-131720-0009.flac,FOR SOME YEARS IT WAS NOT FOUND FEASIBLE TO OPERATE MOTORS ON ALTERNATING CURRENT CIRCUITS AND THAT REASON WAS OFTEN URGED AGAINST IT SERIOUSLY
8224-274381-0016,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\8224\274381\8224-274381-0016.flac,VALOR INDEED WAS VERY GENERALLY DIFFUSED OVER THE ONE PARTY AS WELL AS THE OTHER DURING THIS PERIOD DISCIPLINE ALSO WAS ATTAINED BY THE FORCES OF THE PARLIAMENT BUT THE PERFECTION OF THE MILITARY ART IN CONCERTING THE GENERAL PLANS OF ACTION AND THE OPERATIONS OF THE FIELD SEEMS STILL ON BOTH SIDES TO HAVE BEEN IN A GREAT MEASURE WANTING
8463-294828-0000,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\8463\294828\8463-294828-0000.flac,CHAPTER THREE AS MASTER WISHES
3729-6852-0044,C:\Users\durwa\LibriSpeech\LibriSpeech\test-clean\3729\6852\3729-6852-0044.flac,I WILL MAKE YOU TRANSLATE THEM INTO FRENCH AND YOU NEED NOT BE AFRAID OF MY FINDING YOU INSATIABLE
