Model,Audio_ID,Ground_Truth,Prediction,WER,Inference_Time_sec,Memory_MB
Whisper Base,7729-102255-0008,ALL THE TERRITORIAL DIGNITARIES WERE PRESENT GOVERNOR SHANNON PRESIDED JOHN CALHOUN THE SURVEYOR GENERAL MADE THE PRINCIPAL SPEECH A DENUNCIATION OF THE ABOLITIONISTS SUPPORTING THE TOPEKA MOVEMENT CHIEF JUSTICE LECOMPTE DIGNIFIED THE OCCASION WITH APPROVING REMARKS,"All the territorial dignitaries were present. Governor Shannon presided, John Calhoun, the surveyor general, made the principal speech a denunciation of the abolitionist supporting the Topeka movement. Chief Justice LaCompte dignified the occasion with approving remarks.",0.05555555555555555,2.538704000005964,29.16796875
Whisper Base,1221-135766-0004,THIS OUTWARD MUTABILITY INDICATED AND DID NOT MORE THAN FAIRLY EXPRESS THE VARIOUS PROPERTIES OF HER INNER LIFE,This outward mutability indicated and did not more than fairly express the various properties of her inner life.,0.0,1.1981855999911204,-4.2421875
Whisper Base,4507-16021-0032,HE MUST DESCEND WITH HIS HEART FULL OF CHARITY AND SEVERITY AT THE SAME TIME AS A BROTHER AND AS A JUDGE TO THOSE IMPENETRABLE CASEMATES WHERE CRAWL PELL MELL THOSE WHO BLEED AND THOSE WHO DEAL THE BLOW THOSE WHO WEEP AND THOSE WHO CURSE THOSE WHO FAST AND THOSE WHO DEVOUR THOSE WHO ENDURE EVIL AND THOSE WHO INFLICT IT,"He must descend with his heart full of charity and severity at the same time, as a brother and as a judge, to those impenetrable casemates, where crawl, pale now those who bleed and those who deal the blow, those who weep and those who curse, those who fast and those who devour, those who endure evil and those who inflict it.",0.03225806451612903,3.202282500016736,9.41015625
Whisper Base,5105-28241-0019,NOTHING WAS TO BE DONE BUT TO PUT ABOUT AND RETURN IN DISAPPOINTMENT TOWARDS THE NORTH,"Nothing was to be done but to put about, and return in disappointment toward the North.",0.0625,1.1356504999857862,-0.66796875
Whisper Base,8463-294825-0001,THIS REALITY BEGINS TO EXPLAIN THE DARK POWER AND OTHERWORLDLY FASCINATION OF TWENTY THOUSAND LEAGUES UNDER THE SEAS,"This reality begins to explain the dark power and other worldly fascination of 20,000 leagues under the seas.",0.2222222222222222,1.2911195999768097,-2.41015625
Whisper Base,4970-29093-0007,IT IS SUCH A NOBLE AMBITION THAT IT IS A PITY IT HAS USUALLY SUCH A SHALLOW FOUNDATION,It is such a noble ambition that it is a pity it has usually such a shallow foundation.,0.0,1.1847625000227708,0.05078125
Whisper Base,2300-131720-0009,FOR SOME YEARS IT WAS NOT FOUND FEASIBLE TO OPERATE MOTORS ON ALTERNATING CURRENT CIRCUITS AND THAT REASON WAS OFTEN URGED AGAINST IT SERIOUSLY,"For some years it was not found feasible to operate motors on alternating current circuits, and that reason was often urged against it seriously.",0.0,1.4435102000134066,-0.22265625
Whisper Base,8224-274381-0016,VALOR INDEED WAS VERY GENERALLY DIFFUSED OVER THE ONE PARTY AS WELL AS THE OTHER DURING THIS PERIOD DISCIPLINE ALSO WAS ATTAINED BY THE FORCES OF THE PARLIAMENT BUT THE PERFECTION OF THE MILITARY ART IN CONCERTING THE GENERAL PLANS OF ACTION AND THE OPERATIONS OF THE FIELD SEEMS STILL ON BOTH SIDES TO HAVE BEEN IN A GREAT MEASURE WANTING,"Valor, indeed, was very generally diffused over the one party as well as the other. During this period, discipline also was attained by the forces of the Parliament, but the perfection of the military art in conserting the general plans of action and the operations of the field seems still on both sides to have been in a great measure wanting.",0.01639344262295082,2.674513100006152,-2.33984375
Whisper Base,8463-294828-0000,CHAPTER THREE AS MASTER WISHES,Chapter 3 as Master Wishes.,0.2,0.8583860000071581,2.3046875
Whisper Base,3729-6852-0044,I WILL MAKE YOU TRANSLATE THEM INTO FRENCH AND YOU NEED NOT BE AFRAID OF MY FINDING YOU INSATIABLE,I will make you translate them into French and you need not be afraid of my finding you insatiable.,0.0,1.245498200005386,0.76171875
