Model,Audio_ID,Ground_Truth,Prediction,WER,Inference_Time_sec,Memory_MB
Wav2Vec2 Base,7729-102255-0008,ALL THE TERRITORIAL DIGNITARIES WERE PRESENT GOVERNOR SHANNON PRESIDED JOHN CALHOUN THE SURVEYOR GENERAL MADE THE PRINCIPAL SPEECH A DENUNCIATION OF THE ABOLITIONISTS SUPPORTING THE TOPEKA MOVEMENT CHIEF JUSTICE LECOMPTE DIGNIFIED THE OCCASION WITH APPROVING REMARKS,ALL THE TERRITORIAL DIGNITARIES WERE PRESENT GOVERNOR SHANON PRESIDED JOHN CALHOUN THE SURVEYOR GENERAL MADE THE PRINCIPAL SPEECH A DENUNCIATION OF THE ABOLITIONIST SUPPORTING THE TEPICA MOVEMENT CHIEF JUSTICE LECOMQE DIGNIFIED THE OCCASION WITH APPROVING REMARKS,0.1111111111111111,3.533017600013409,1046.7421875
Wav2Vec2 Base,1221-135766-0004,THIS OUTWARD MUTABILITY INDICATED AND DID NOT MORE THAN FAIRLY EXPRESS THE VARIOUS PROPERTIES OF HER INNER LIFE,THIS OUTWARD MUTABILITY INDICATED AND DID NOT MORE THAN FAIRLY EXPRESS THE VARIOUS PROPERTIES OF HER INNER LIFE,0.0,0.8134740999958012,-0.2578125
Wav2Vec2 Base,4507-16021-0032,HE MUST DESCEND WITH HIS HEART FULL OF CHARITY AND SEVERITY AT THE SAME TIME AS A BROTHER AND AS A JUDGE TO THOSE IMPENETRABLE CASEMATES WHERE CRAWL PELL MELL THOSE WHO BLEED AND THOSE WHO DEAL THE BLOW THOSE WHO WEEP AND THOSE WHO CURSE THOSE WHO FAST AND THOSE WHO DEVOUR THOSE WHO ENDURE EVIL AND THOSE WHO INFLICT IT,HE MUST DESCEND WITH HIS HEART FULL OF CHARITY AND SEVERITY AT THE SAME TIME AS A BROTHER AND AS A JUDGE TO THOSE IMPENETRABLE CASEMATES WHERE CRAWL PELL MELL THOSE WHO BLEED IN THOSE WHO DEAL THE BLOW THOSE WHO WEEP IN THOSE WHO CURSE THOSE WHO FAST IN THOSE WHO DEVOUR THOSE WHO ENDURE EVIL AND THOSE WHO INFLICT IT,0.04838709677419355,3.786338700010674,70.2578125
Wav2Vec2 Base,5105-28241-0019,NOTHING WAS TO BE DONE BUT TO PUT ABOUT AND RETURN IN DISAPPOINTMENT TOWARDS THE NORTH,NOTHING WAS TO BE DONE BUT TO PUT ABOUT AND RETURN IN DISAPPOINTMENT TOWARD THE NORTH,0.0625,0.5849334000085946,-19.23828125
Wav2Vec2 Base,8463-294825-0001,THIS REALITY BEGINS TO EXPLAIN THE DARK POWER AND OTHERWORLDLY FASCINATION OF TWENTY THOUSAND LEAGUES UNDER THE SEAS,THIS REALITY BEGINS TO EXPLAIN THE DARK POWER AND OTHER WORLDLY FASCINATION OF TWENTY THOUSAND LEAGUES UNDER THE SEAS,0.1111111111111111,1.0025496000016574,19.74609375
Wav2Vec2 Base,4970-29093-0007,IT IS SUCH A NOBLE AMBITION THAT IT IS A PITY IT HAS USUALLY SUCH A SHALLOW FOUNDATION,IT IS SUCH A NOBLE AMBITION THAT IT IS A PITY IT HAS USUALLY SUCH A SHALLOW FOUNDATION,0.0,0.8225100999989081,6.37109375
Wav2Vec2 Base,2300-131720-0009,FOR SOME YEARS IT WAS NOT FOUND FEASIBLE TO OPERATE MOTORS ON ALTERNATING CURRENT CIRCUITS AND THAT REASON WAS OFTEN URGED AGAINST IT SERIOUSLY,FOR SOME YEARS IT WAS NOT FOUND FEASIBLE TO OPERATE MOTORS ON ALTERNATING CURRENT CIRCUITS AND THAT REASON WAS OFTEN URGED AGAINST IT SERIOUSLY,0.0,1.216022599983262,60.859375
Wav2Vec2 Base,8224-274381-0016,VALOR INDEED WAS VERY GENERALLY DIFFUSED OVER THE ONE PARTY AS WELL AS THE OTHER DURING THIS PERIOD DISCIPLINE ALSO WAS ATTAINED BY THE FORCES OF THE PARLIAMENT BUT THE PERFECTION OF THE MILITARY ART IN CONCERTING THE GENERAL PLANS OF ACTION AND THE OPERATIONS OF THE FIELD SEEMS STILL ON BOTH SIDES TO HAVE BEEN IN A GREAT MEASURE WANTING,VALOR INDEED WAS VERY GENERALLY DIFFUSED OVER THE ONE PARTY AS WELL AS THE OTHER DURING THIS PERIOD DISCIPLINE ALSO WAS ATTAINED BY THE FORCES OF THE PARLIAMENT BUT THE PERFECTION OF THE MILITARY ART IN CONCERTING THE GENERAL PLANS OF ACTION AND THE OPERATIONS OF THE FIELD SEEMS STILL ON BOTH SIDES TO HAVE BEEN IN A GREAT MEASURE WANTING,0.0,3.62249520001933,301.87890625
Wav2Vec2 Base,8463-294828-0000,CHAPTER THREE AS MASTER WISHES,CHAPTER THREE AS MASTER WISHES,0.0,0.36701950000133365,-6.63671875
Wav2Vec2 Base,3729-6852-0044,I WILL MAKE YOU TRANSLATE THEM INTO FRENCH AND YOU NEED NOT BE AFRAID OF MY FINDING YOU INSATIABLE,I WILL MAKE YOU TRANSLATE THEM INTO FRENCH AND YOU NEED NOT BE AFRAID OF MY FINDING YOU INSATIABLE,0.0,0.7804952999867965,-1.7421875
Wav2Vec2 Base,2830-3980-0010,EITHER HE CALLS MINISTERS THROUGH THE AGENCY OF MEN OR HE CALLS THEM DIRECTLY AS HE CALLED THE PROPHETS AND APOSTLES,EITHER HE CALLS MINISTERS THROUGH THE AGENCY OF MEN OR HE CALLS THEM DIRECTLY AS HE CALLED THE PROPHETS AND APOSTLES,0.0,0.8057831000187434,-1.8671875
Wav2Vec2 Base,7729-102255-0005,THIS WAS A FORMIDABLE ARRAY OF ADVANTAGES SLAVERY WAS PLAYING WITH LOADED DICE,THIS WAS A FORMABLE ARRAY OF ADVANTAGES SLAVERY WAS PLAYING WITH LOADED DICE,0.07692307692307693,0.5941920999903232,3.0
Wav2Vec2 Base,1221-135767-0007,BUT IN TRUTH PEARL WAS THE ONE AS WELL AS THE OTHER AND ONLY IN CONSEQUENCE OF THAT IDENTITY HAD HESTER CONTRIVED SO PERFECTLY TO REPRESENT THE SCARLET LETTER IN HER APPEARANCE,BUT IN TRUTH PEARL WAS THE ONE AS WELL AS THE OTHER AND ONLY IN CONSEQUENCE OF THAT IDENTITY HAD HESTAR CONTRIVED SO PERFECTLY TO REPRESENT THE SCARLET LETTER IN HER APPEARANCE,0.03125,1.4983716999995522,-4.20703125
Wav2Vec2 Base,8455-210777-0068,YOUR POWER IS SUFFICIENT I SAID,YOUR POWER IS SUFFICIENT I SAID,0.0,0.30111690002377145,8.56640625
Wav2Vec2 Base,4446-2273-0011,THERE IS NOTHING ELSE THAT LOOKS SO JOLLY,THERE'S NOTHING ELSE THAT LOOKS SO JOLLY,0.25,0.3584010000049602,-1.93359375
Wav2Vec2 Base,1188-133604-0006,THEN HE COMES TO THE BEAK OF IT,THEN HE COMES TO THE BEAK OF IT,0.0,0.28749069999321364,2.3515625
Wav2Vec2 Base,4970-29093-0004,HE WAS UNABLE TO DECIDE EXACTLY WHAT IT SHOULD BE,HE WAS UNABLE TO DECIDE EXACTLY WHAT IT SHOULD BE,0.0,0.42715319999842905,7.80859375
Wav2Vec2 Base,2300-131720-0024,BUT THE PLANT RAN AND IT WAS THE FIRST THREE WIRE STATION IN THIS COUNTRY,BUT THE PLANT RAN AND IT WAS THE FIRST THREE WIRE STATION IN THIS COUNTRY,0.0,0.4706892000103835,-7.12890625
Wav2Vec2 Base,3570-5694-0007,IT HAS EVEN HAPPENED THAT THE NAME FOR CERTAIN DISEASED CONDITIONS OF THE BODY ARISING FROM SUCH AN ORIGIN HAS PASSED INTO EVERYDAY SPEECH AS A SYNONYM FOR NOBLE OR GENTLE,IT HAS EVEN HAPPENED THAT THE NAME FOR CERTAIN DISEASED CONDITIONS OF THE BODY ARISING FROM SUCH AN ORIGIN HAS PASSED INTO EVERYDAY SPEECH AS A SYNONYM FOR NOBLE OR GENTLE,0.0,1.1419193999900017,-1.1015625
Wav2Vec2 Base,1089-134686-0032,HE IS CALLED AS YOU KNOW THE APOSTLE OF THE INDIES,HE IS CALLED AS YOU KNOW THE APOSTLE OF THE INDIES,0.0,0.47515010001370683,5.51953125
Wav2Vec2 Base,8224-274381-0010,BY A QUICK AND UNEXPECTED MARCH MONTROSE HASTENED TO INNERLOCHY AND PRESENTED HIMSELF IN ORDER OF BATTLE BEFORE THE SURPRISED BUT NOT AFFRIGHTENED COVENANTERS,BY A QUICK AND UNEXPECTED MARCH MONTRES HASTENED TO INER LOCKEY AND PRESENTED HIMSELF IN ORDER OF BATTLE BEFORE THE SURPRISED BUT NOT A FRIGHTENED COVENANTERS,0.20833333333333334,1.8030543999921065,10.078125
Wav2Vec2 Base,8463-294828-0029,OUR BAGGAGE WAS IMMEDIATELY CARRIED TO THE DECK OF THE FRIGATE I RUSHED ABOARD,OUR BAGGAGE WAS IMMEDIATELY CARRIED TO THE DECK OF THE FRIGATE I RUSHED ABOARD,0.0,0.5916203999950085,1.38671875
Wav2Vec2 Base,1089-134691-0006,THE PRIDE OF THAT DIM IMAGE BROUGHT BACK TO HIS MIND THE DIGNITY OF THE OFFICE HE HAD REFUSED,THE PRIDE OF THAT DIM IMAGE BROUGHT BACK TO HIS MIND THE DIGNITY OF THE OFFICE HE HAD REFUSED,0.0,0.6865337000053842,-6.8203125
Wav2Vec2 Base,1089-134691-0018,AGAIN AGAIN,AGAIN AGAIN,0.0,0.35912730000563897,10.0703125
